id_cliente,ingreso_mensual,ticket_promedio,antigüedad_meses,llamadas_soporte,satisfaccion,descuento_usado,genero,region,fecha_ultima_compra,num_productos,gasto_total_anual,edad,churn
CLI-10001,,"$1,000",3.0,4.0,4.0,26.2%,Masculino,Cucuta,2025-05-10,6.0,284.6652815118678,23,0
CLI-10002,131.0,"1,000",,1.0,1.0,9.5,Masculino,Barranquilla,17-Apr-2025,3.0,190.96550992619467,24,0
CLI-10003,384.0,"1,000",4.0,1.0,4.0,43.1,male,Cali,03-Nov-2024,11.0,236.9840694486588,64,0
CLI-10004,430.0,"1,000",38.0,0.0,4.0,37.2,H,Cartagena,2024/11/21,5.0,361.8604574694719,54,0
CLI-10005,76.0,"1,000",18.0,3.0,1.0,41.6,M,cali,15-Jan-2025,7.0,238.8031919919852,48,0
CLI-10006,112.0,"$1,000",18.0,3.0,1.0,11.8,Female,Cartagena,2025-02-15,2.0,325.18965205495476,25,0
CLI-10007,88970.0,"$1,000",41.0,4.0,2.0,27.7%,male,Cartagena,03/05/2025,5.0,514.7510761939888,45,0
CLI-10008,202.0,"$1,000",17.0,1.0,1.0,20.8,Male,Bogotá,18-Apr-2025,5.0,288.1343871689407,40,1
CLI-10009,242.0,"$1,000",-12.0,140.0,3.0,32.0%,Masculino,Barranquilla,,7.0,221.00703178698882,35,1
CLI-10010,147.0,"$1,000",7.0,1.0,,37.6%,Female,Bogotá,,10.0,247.7038105126346,40,0
CLI-10011,,"$1,000",-12.0,4.0,1.0,8.7%,Femenino,cali,2025-02-02,4.0,1069.0174783297082,20,0
CLI-10012,390.0,"$1,000",4.0,2.0,4.0,8.7%,Femenino,Cartagena,2025-04-20,2.0,1849.1110438490498,10,0
CLI-10013,255.0,"1,000",14.0,4.0,3.0,2.2%,Mujer,Cartagena,2024/11/04,3.0,416.66360988555437,46,0
CLI-10014,481.0,"1,000",10.0,3.0,5.0,7.9,female,bogota,16/04/2025,5.0,670.1003897727231,44,1
CLI-10015,324.0,"$1,000",3.0,0.0,3.0,12.0%,Masculino,Cucuta,05/01/2025,6.0,208.94483005884786,45,0
CLI-10016,146.0,"$1,000",-5.0,1.0,4.0,,F,carthagena,09/09/2024,10.0,266.90352733300307,53,1
CLI-10017,305.0,"$1,000",,0.0,5.0,17.8%,Femenino,Cali,,3.0,552.7826983722879,49,1
CLI-10018,138.0,"1,000",12.0,2.0,1.0,33.8,H,cali,30-Jun-2024,3.0,77.12711072965303,64,0
CLI-10019,414.0,"1,000",21.0,2.0,2.0,39.7%,F,bogota,13/10/2024,3.0,692.8656277582451,59,1
CLI-10020,237.0,"1,000",7.0,2.0,2.0,17.3%,M,Cali,2024-07-03,5.0,271.72665613096655,42,0
CLI-10021,219.0,"$1,000",4.0,1.0,1.0,4.2,NB,Cartagena,2024/09/08,4.0,189.7080647091616,44,1
CLI-10022,163.0,"$1,000",35.0,1.0,4.0,38.0%,male,Cucuta,14-Jun-2024,8.0,529.3876544105224,45,0
CLI-10023,510.0,"1,000",50.0,0.0,1.0,19.6%,Femenino,BARRANQUILLA,2024-11-28,0.0,1107.3288918813248,18,1
CLI-10024,223.0,"1,000",10.0,1.0,2.0,12.6%,male,Medellin,2025-05-27,7.0,324.04718600874895,55,1
CLI-10025,189.0,"$1,000",10.0,1.0,1.0,23.5%,Prefiero no decirlo,Cucuta,2025/05/09,3.0,494.970066193045,50,1
CLI-10026,198.0,"$1,000",1.0,1.0,4.0,48.5%,Femenino,BARRANQUILLA,27-Mar-2025,4.0,554.2286120241616,17,0
CLI-10027,337.0,"$1,000",5.0,4.0,4.0,18.6%,Male,carthagena,2025-04-25,7.0,477.2318834560172,65,0
CLI-10028,305.0,"$1,000",5.0,0.0,3.0,48.0%,H,carthagena,2024/08/11,6.0,200.8008439427957,35,0
CLI-10029,313.0,"1,000",15.0,4.0,,12.7,Female,cali,22-Jun-2024,4.0,471.75719673489397,40,0
CLI-10030,317.0,"1,000",2.0,3.0,3.0,5.3%,male,Bogotá,2024-10-18,2.0,458.937973827043,39,0
CLI-10031,884.0,"$1,000",7.0,2.0,1.0,7.9%,male,Cartagena,24/03/2025,3.0,59.69283203312662,0,1
CLI-10032,192.0,"$1,000",,4.0,2.0,38.7,Otro,Cucuta,,6.0,735.3165117697522,77,0
CLI-10033,180.0,"$1,000",20.0,1.0,5.0,26.9,Femenino,Cucuta,2025/02/09,4.0,140.81402230801567,38,0
CLI-10034,150.0,"$1,000",6.0,1.0,1.0,,M,Cucuta,2024/07/15,7.0,441.3203128126635,37,1
CLI-10035,354.0,"$1,000",2.0,3.0,4.0,48.4,Female,Cali,2024/09/24,6.0,1167.2797540874494,42,0
CLI-10036,482.0,"1,000",6.0,3.0,1.0,25.2,Male,Cucuta,2024-12-24,3.0,340.1293642976232,29,0
CLI-10037,229.0,"1,000",12.0,2.0,1.0,5.9,Mujer,Bogotá,16-Aug-2024,4.0,193.9734048928748,46,0
CLI-10038,148.0,"$1,000",13.0,2.0,,,Masculino,Cali,02/10/2024,9.0,596.6939909972074,29,0
CLI-10039,149.0,"1,000",1.0,4.0,2.0,10.4%,male,Cartagena,2024/07/04,4.0,1076.3463709834841,49,1
CLI-10040,362.0,"1,000",-8.0,1.0,2.0,29.1%,Male,Cali,2024/10/23,1.0,185.67096135640378,26,1
