id_transaccion,fecha_venta,producto,categoria,precio_unitario,cantidad,descuento,tipo_descuento,region,score_vendedor,ingreso_total
TXN-00000000,2024-02-18,PROD-0088,Ropa,$232.93,4.0,0.0,ninguno,Oeste,8.0,1053.434367393953
TXN-00000001,2025-02-25,PROD-0007,Juguetes,,5.0,0.0,ninguno,Este,2.0,231.42679711278686
TXN-00000002,2024-12-22,PROD-0040,Electrónicos,$7.65,4.0,46.15923918820667,porcentaje,Sur,1.0,16.645141585746526
TXN-00000003,2024-08-27,PROD-0046,Alimentos,$18.35,2.0,0.0,ninguno,Sur,1.0,32.17932153071319
TXN-00000004,2024-08-23,PROD-0080,Juguetes,$323.59,4.0,0.0,ninguno,Oeste,3.0,1549.69529550817
TXN-00000005,2025-04-12,PROD-0013,Libros,62.73192,0.0,0.0,ninguno,Centro,2.0,2222.7191104107233
TXN-00000006,2024-02-16,PROD-0044,Ropa,$45.80,3.0,0.0,ninguno,Este,1.0,119.43480596604793
TXN-00000007,2025-01-15,PROD-0016,Deportes,$394.81,1.0,0.0,ninguno,Oeste,5.0,448.42764232494136
TXN-00000008,2024-04-19,PROD-0079,Hogar,$281.08,1.0,33234.12915798245,fijo,Este,6.0,38104.14655867853
TXN-00000009,2024-02-21,PROD-0064,Electrónicos,$92.02,5.0,5.419448141876825,porcentaje,Oeste,1.0,359.5445718367917
TXN-00000010,2024-10-13,PROD-0050,Ropa,$69.13,1.0,11992.719271919621,fijo,centro,6.0,11793.81374326859
TXN-00000011,2025-06-15,PROD-0040,Libros,$79.93,5.0,0.0,ninguno,Este,5.0,433.7575404155303
TXN-00000012,2025-02-04,PROD-0016,Deportes,$110.44,5.0,43.63004428700881,porcentaje,Este,3.0,361.8452209266601
TXN-00000013,2025-02-18,PROD-0093,Alimentos,$379.95,5.0,0.0,ninguno,SUR,2.0,1790.950619639419
TXN-00000014,2025-01-26,PROD-0065,Ropa,$131.66,3.0,0.0,ninguno,ESTE,8.0,392.39240412350614
TXN-00000015,2025-03-04,PROD-0032,Hogar,$173.02,7.0,0.0,ninguno,ESTE,2.0,1352.2873109900113
TXN-00000016,2024-10-06,PROD-0042,Ropa,"$9,999,999.99",,0.0,ninguno,norte,3.0,707.2415151070427
TXN-00000017,2024-03-10,PROD-0073,Hogar,$31.42,2.0,0.0,ninguno,Nororiente,8.0,78.60529897045619
TXN-00000018,2025-04-02,PROD-0072,Hogar,$177.57,2.0,49.90001606424563,porcentaje,centro,7.0,212.4978413226687
TXN-00000019,2024-09-02,PROD-0047,Deportes,$69.05,4.0,14427.046406036465,fijo,Sur,10.0,18013.219663428994
TXN-00000020,2024-09-29,PROD-0031,Hogar,$9.35,4.0,0.0,ninguno,Nororiente,1.0,35.56906381247758
TXN-00000021,2024-07-21,PROD-0066,Electrónicos,$13.26,3.0,0.0,ninguno,SUR,2.0,35.146738413545904
TXN-00000022,2024-04-09,PROD-0066,Salud,$36.01,1.0,25.063539005842028,porcentaje,Este,7.0,29.85284948698164
TXN-00000023,2025-05-20,PROD-0060,Ropa,"$9,999,999.99",5.0,9.016190043389965,porcentaje,norte,3.0,595.9791324639724
TXN-00000024,2025-03-01,PROD-0008,Alimentos,$99.73,1.0,0.0,ninguno,Oeste,4.0,94.01136596761887
TXN-00000025,2024-12-16,PROD-0048,Hogar,,4.0,14366.080160166182,fijo,ESTE,3.0,13788.143369957526
TXN-00000026,2024-08-07,PROD-0062,Hogar,$521.05,3.0,0.0,ninguno,SUR,9.0,1678.4369626832693
TXN-00000027,2025-03-24,PROD-0096,Alimentos,,1.0,34639.21015383947,fijo,Sur,8.0,34724.09435230816
TXN-00000028,2024-10-24,PROD-0053,Deportes,$87.82,2.0,0.0,ninguno,Nororiente,9.0,174.96528409016832
TXN-00000029,2024-08-29,PROD-0035,Alimentos,118.3909,4.0,0.0,ninguno,oeste,6.0,451.12252597759516
TXN-00000030,2024-09-02,PROD-0056,Salud,$46.40,1.0,0.0,ninguno,norte,5.0,52.42823809098972
TXN-00000031,2024-05-03,PROD-0018,Salud,$92.34,1.0,0.0,ninguno,norte,6.0,90.28162448629217
TXN-00000032,2024-02-20,PROD-0010,Ropa,,8.0,12.469790460828028,porcentaje,Norte,1.0,162.57432360088188
TXN-00000033,2024-10-29,PROD-0068,Ropa,$320.19,2.0,26030.923214030685,fijo,SUR,6.0,29528.772684062136
TXN-00000034,2025-04-28,PROD-0099,Alimentos,$48.74,2.0,0.0,ninguno,Centro,3.0,109.01335639562065
TXN-00000035,2024-02-04,PROD-0085,Electrónicos,$560.18,2.0,46.55275078049731,porcentaje,Norte,10.0,767.8762127525671
TXN-00000036,2025-04-12,PROD-0059,Deportes,$87.42,3.0,0.0,ninguno,SUR,2.0,316.1516083774439
TXN-00000037,2025-03-27,PROD-0005,Salud,$227.07,0.0,41.544456981672596,porcentaje,Norte,1.0,2404.5989819430997
TXN-00000038,2024-05-30,PROD-0099,Ropa,$85.80,4.0,0.0,ninguno,oeste,10.0,350.4301676215769
TXN-00000039,2024-12-10,PROD-0045,Ropa,$87.56,2.0,41.678517668379044,porcentaje,Centro,2.0,116.16305864362863
TXN-00000040,2024-03-31,PROD-0029,Ropa,$53.22,1.0,0.0,ninguno,ESTE,15.0,68.09774792081751
TXN-00000041,2025-02-17,PROD-0090,Deportes,$100.20,6.0,0.0,ninguno,centro,4.0,517.9636502519219
TXN-00000042,2025-01-16,PROD-0075,Juguetes,$119.84,2.0,39.8394391785911,porcentaje,oeste,3.0,175.97432959112803
TXN-00000043,2024-07-12,PROD-0075,Electrónicos,$44.44,5.0,43039.86243706466,fijo,Centro,5.0,51364.31407019885
TXN-00000044,2024-02-07,PROD-0028,Alimentos,$80.44,4.0,0.0,ninguno,Sur,8.0,402.9695384211022
TXN-00000045,2025-06-13,PROD-0100,Electrónicos,$51.98,5.0,0.0,ninguno,centro,2.0,233.76335351022252
TXN-00000046,2024-08-30,PROD-0046,Alimentos,$713.15,0.0,0.0,ninguno,Oeste,7.0,7831.798829357457
TXN-00000047,2025-05-01,PROD-0054,Hogar,$83.03,3.0,0.0,ninguno,Norte,9.0,265.06147818191266
TXN-00000048,2025-01-04,PROD-0076,Ropa,361.6615,3.0,0.0,ninguno,Norte,3.0,1055.0859088231148
TXN-00000049,2025-02-28,PROD-0066,Alimentos,$75.49,4.0,0.0,ninguno,centro,7.0,287.8435285132936
TXN-00000050,2025-02-18,PROD-0018,Ropa,$113.68,,0.0,ninguno,Sur,10.0,535.0917359374931
TXN-00000051,2024-04-16,PROD-0031,Alimentos,$27.41,4.0,0.0,ninguno,ESTE,10.0,138.45914647789272
TXN-00000052,2024-07-17,PROD-0037,Juguetes,$60.20,3.0,15247.05100503409,fijo,Centro,7.0,16317.372425190606
TXN-00000053,2024-09-11,PROD-0095,Juguetes,$108.80,4.0,0.0,ninguno,Centro,10.0,498.0120823189504
TXN-00000054,2024-09-28,PROD-0072,Electrónicos,$375.18,1.0,0.0,ninguno,Norte,8.0,366.5543475187068
TXN-00000055,2024-01-24,PROD-0037,Alimentos,$109.92,5.0,4586.3393895650315,fijo,Oeste,6.0,5023.549156408506
TXN-00000056,2024-10-24,PROD-0074,Juguetes,$312.73,2.0,16.06507155758741,porcentaje,Nororiente,2.0,628.9523138906683
TXN-00000057,2024-03-25,PROD-0074,Salud,$160.24,2.0,0.0,ninguno,Sur,9.0,373.27364157116205
TXN-00000058,2025-02-09,PROD-0040,Hogar,$389.42,3.0,0.0,ninguno,ESTE,3.0,1116.9388767129883
TXN-00000059,2025-01-07,PROD-0041,Salud,$85.36,2.0,12544.03412313813,fijo,SUR,8.0,11935.161328387738
TXN-00000060,2025-05-17,PROD-0090,Hogar,$773.71,3.0,0.0,ninguno,oeste,7.0,2578.264332005057
TXN-00000061,2025-02-09,PROD-0057,Electrónicos,$58.16,3.0,0.0,ninguno,norte,4.0,205.6096008224136
TXN-00000062,2024-07-18,PROD-0015,Deportes,$45.16,5.0,8312.116763889857,fijo,ESTE,8.0,10364.539330719705
TXN-00000063,2025-06-11,PROD-0072,Salud,$30.29,3.0,0.0,ninguno,Este,7.0,80.44765020732663
TXN-00000064,2024-08-11,PROD-0059,Juguetes,733.5693,4.0,42512.16063029135,fijo,oeste,8.0,39909.264322018855
TXN-00000065,2024-06-26,PROD-0051,Ropa,$188.20,2.0,0.0,ninguno,ESTE,10.0,396.0116408684428
TXN-00000066,2025-05-08,PROD-0073,Juguetes,$66.64,4.0,14.660533594158723,porcentaje,Nororiente,3.0,222.0270556432949
